acta_id,dept,mun,zona,stand,mesa,hash,status,path,ok
11_004_99_09_001,11,004,99,09,001,b9ced4b7b88fe4d2b29b5841e053f4d9ee974ae2f9a7c597ea90ee8edcd1f1d9.pdf,status11,training\pdfs_train\11\11_004_99_09_001.pdf,True
60_001_01_01_022,60,001,01,01,022,69b6b4c53e51816ace61ea6686b27713d44887c418be53f5bf7f8a0ae673679b.pdf,status11,training\pdfs_train\60\60_001_01_01_022.pdf,True
11_001_02_03_003,11,001,02,03,003,2fd42c178cb3dc3997ccb89ff5d604f8027fc79544158d59dfb912fb06c85d5e.pdf,status11,training\pdfs_train\11\11_001_02_03_003.pdf,True
17_011_99_17_001,17,011,99,17,001,2489673a5ad2cb95f3e32382d4d1b954bc77e43ea809f2324a9c5d4c4e75d865.pdf,status11,training\pdfs_train\17\17_011_99_17_001.pdf,True
11_013_00_00_018,11,013,00,00,018,ad7f27c48e7ca7cbc7e9ba8a67744ac0c8c710e7ca816ca4c0e50525c9e7f926.pdf,status11,training\pdfs_train\11\11_013_00_00_018.pdf,True
60_001_02_03_020,60,001,02,03,020,d64a9e27fdb64031be4e07838fb1aa1c1888c9347d284b4abc9e340bd3b9510f.pdf,status11,training\pdfs_train\60\60_001_02_03_020.pdf,True
17_004_99_15_001,17,004,99,15,001,2598b93a38958a9bc0c61f33f4cf84f388f7769029b87ff7702827b30572aa78.pdf,status11,training\pdfs_train\17\17_004_99_15_001.pdf,True
23_142_99_21_005,23,142,99,21,005,629456b5a830436a2d882dbb0da3f7652543445448fcff4c787788a25a03f114.pdf,status11,training\pdfs_train\23\23_142_99_21_005.pdf,True
11_082_99_05_004,11,082,99,05,004,d2d69c492c78da25c0e4bed896e55f8a61a1f32d265833701746a036e6e69d0e.pdf,status11,training\pdfs_train\11\11_082_99_05_004.pdf,True
23_007_00_00_003,23,007,00,00,003,a95b2951f0f043781533c49f38dc84bb97fd3bd4fd5ec4035929f5408df5d850.pdf,status11,training\pdfs_train\23\23_007_00_00_003.pdf,True
11_076_02_02_019,11,076,02,02,019,fcb04161f8e2ba9d81d86d6656b78fc71c95adb7139d93fbfc12fcde2bb724c0.pdf,status11,training\pdfs_train\11\11_076_02_02_019.pdf,True
23_142_99_20_002,23,142,99,20,002,002dcf437c075a47b8d1aabbce95797993a31291aeab2e7ce2fcba2180223fb0.pdf,status11,training\pdfs_train\23\23_142_99_20_002.pdf,True
60_001_02_02_011,60,001,02,02,011,bdf398c9960a0064130f9f4acd3cabf971c283dc65f65693bf2a23c664f08747.pdf,status11,training\pdfs_train\60\60_001_02_02_011.pdf,True
60_001_02_01_012,60,001,02,01,012,cc2d0d5bf889d6d56dc9beb19579f27e9b5abb26b054028dc419740fa02f5112.pdf,status11,training\pdfs_train\60\60_001_02_01_012.pdf,True
11_001_05_02_014,11,001,05,02,014,8ed11f02decc84620266764066fc1b69fd06e014f80440aa29981dcbad347aff.pdf,status11,training\pdfs_train\11\11_001_05_02_014.pdf,True
23_064_99_70_001,23,064,99,70,001,406b8dd4c280cb591f2e139bc541db3186e598421cdd1c4f244548df627d7585.pdf,status11,training\pdfs_train\23\23_064_99_70_001.pdf,True
17_037_00_00_006,17,037,00,00,006,64563071d8e5a1ec03fcbaa088b0c8401f59c99e83c227feeea31ea036e840ae.pdf,status11,training\pdfs_train\17\17_037_00_00_006.pdf,True
60_001_01_01_025,60,001,01,01,025,2829e62d7f1b931f5fef6db8c1aa9e1b87199b815e1177ca40ee7448f05a53a1.pdf,status11,training\pdfs_train\60\60_001_01_01_025.pdf,True
11_052_00_02_013,11,052,00,02,013,c569f8a36b54dc546c1246cff8f00241abd16cc3f7c35183428f09408d20d6f2.pdf,status11,training\pdfs_train\11\11_052_00_02_013.pdf,True
17_028_99_02_001,17,028,99,02,001,a7eb7f499b1f8776992d8fb25a8d564eede3f9c5e189c54efc0fa2990a02cf1e.pdf,status11,training\pdfs_train\17\17_028_99_02_001.pdf,True
60_001_02_02_007,60,001,02,02,007,e9b196cbb936df728b0571ff4f239cfc41d18df5033521afe9c7444801cad0a2.pdf,status11,training\pdfs_train\60\60_001_02_02_007.pdf,True
60_001_01_02_008,60,001,01,02,008,bab03c57d412438a56368be539372f2cf31ae6811e96c93afa1229d9e9785946.pdf,status11,training\pdfs_train\60\60_001_01_02_008.pdf,True
17_001_01_03_011,17,001,01,03,011,30d6b22959fa0180da39b2227bb6eb992a2b743e6bb4aa557790b8472b9ad130.pdf,status11,training\pdfs_train\17\17_001_01_03_011.pdf,True
23_001_90_01_016,23,001,90,01,016,d7e703ad03e874fd2d2f8a0a0dd82d937def3d5adb1dc464653b98641c684ca0.pdf,status11,training\pdfs_train\23\23_001_90_01_016.pdf,True
11_025_99_77_004,11,025,99,77,004,f1f0960500a8198edfe8886a24d8290a5bfb0ae334aee58f01755ef2544cf8c6.pdf,status11,training\pdfs_train\11\11_025_99_77_004.pdf,True
17_001_02_02_008,17,001,02,02,008,e16c456d3d081ea6d54fa3046495d453b9aae6c671d6230947e25260cc7edbe0.pdf,status11,training\pdfs_train\17\17_001_02_02_008.pdf,True
23_001_04_05_005,23,001,04,05,005,f2f87b8b85a86cbfdb22784aa0c28a52c7a6161e99fdaf2aeb2cd1006d1ae6d0.pdf,status11,training\pdfs_train\23\23_001_04_05_005.pdf,True
17_034_99_11_001,17,034,99,11,001,24599f7891b5a823526c62d5ef202e600fc34c4ce39eda5d011bd6b9db8eb321.pdf,status11,training\pdfs_train\17\17_034_99_11_001.pdf,True
23_001_07_01_005,23,001,07,01,005,e7f3d5f6a489a4cc7c48d5f0f3362708a8a188bcd0518a48f7fecda3f482fa02.pdf,status11,training\pdfs_train\23\23_001_07_01_005.pdf,True
11_010_99_65_002,11,010,99,65,002,e44d819be4b366cf91d65750f301b5e02251c5fa32f1f8c4f282c9b0e874e010.pdf,status11,training\pdfs_train\11\11_010_99_65_002.pdf,True
11_031_00_00_011,11,031,00,00,011,ffc8f4e1d044ebdeb1f6cc91e1366b9c1faa99938bcafbdb9aab4a4d94fd18a5.pdf,status11,training\pdfs_train\11\11_031_00_00_011.pdf,True
17_037_99_08_001,17,037,99,08,001,edfd4d4406b30659ae69956aae68649910ffae56a0b1c6100708d3ef44367175.pdf,status11,training\pdfs_train\17\17_037_99_08_001.pdf,True
11_001_07_06_012,11,001,07,06,012,3d699c1fd619b59f96a801a7b2fa5ab6a3ceb929a73f5cbf0d99c36f00c3282b.pdf,status11,training\pdfs_train\11\11_001_07_06_012.pdf,True
60_001_01_01_026,60,001,01,01,026,fbe8a60dafe68c0476057ccb59f8c29b0a38ef21015bbaef572baaaa4f5e364e.pdf,status11,training\pdfs_train\60\60_001_01_01_026.pdf,True
23_037_00_01_011,23,037,00,01,011,ed39c1daec5325221f7362111c87fd4b8eb80e830ace85b52d4005a784be9285.pdf,status11,training\pdfs_train\23\23_037_00_01_011.pdf,True
60_001_02_01_010,60,001,02,01,010,d5f87d57fa0e824b3bb584a99a91a026540ce3f03ab892ed90fd9629b1a3ff0a.pdf,status11,training\pdfs_train\60\60_001_02_01_010.pdf,True
23_082_00_00_011,23,082,00,00,011,29a09d563e8d4cc3d620e00173edf1a152b611a7c66a5982fc15a754f020cb19.pdf,status11,training\pdfs_train\23\23_082_00_00_011.pdf,True
60_001_02_02_013,60,001,02,02,013,a33ef469e46b9632123b3e3a767696363119b24952e92dade2541fda81efac11.pdf,status11,training\pdfs_train\60\60_001_02_02_013.pdf,True
60_001_02_03_008,60,001,02,03,008,550423f19adfbee174cce953624a152dec8d59c6e9e10a021982af709a6c06bd.pdf,status11,training\pdfs_train\60\60_001_02_03_008.pdf,True
11_040_99_23_002,11,040,99,23,002,5b61be980bbc37929ff991f5e048cd13d50358252bb06efb9bc7a7e026646e24.pdf,status11,training\pdfs_train\11\11_040_99_23_002.pdf,True
17_001_01_03_020,17,001,01,03,020,29d5344e6e69222dfba00fac09de98bd388e47a43e66e5e8350b8fb023ced502.pdf,status11,training\pdfs_train\17\17_001_01_03_020.pdf,True
17_048_00_00_008,17,048,00,00,008,bad884234a5d31cb982d8700aeb9ab2fc477b1d7530607c1d226b258de886dd8.pdf,status11,training\pdfs_train\17\17_048_00_00_008.pdf,True
23_001_05_01_021,23,001,05,01,021,945e832f6b1562d7fcb203956c659a89859e2ce6f4cf2337a187e59bd33e5174.pdf,status11,training\pdfs_train\23\23_001_05_01_021.pdf,True
17_035_00_00_002,17,035,00,00,002,5e6d506f515db87048425609665d477e2eaf5ec3644d04adbee00dcdbb7f46ee.pdf,status11,training\pdfs_train\17\17_035_00_00_002.pdf,True
23_001_05_06_003,23,001,05,06,003,7d92b4ffb7d2863ca81c51f3e1af118c5332319f78ec6a2bae619ac1ab711fae.pdf,status11,training\pdfs_train\23\23_001_05_06_003.pdf,True
17_013_99_19_001,17,013,99,19,001,d2998b51bb6574c3a3edd6b7f312852feae161cdc1edb1203fc1ca9f80857612.pdf,status11,training\pdfs_train\17\17_013_99_19_001.pdf,True
60_001_02_02_002,60,001,02,02,002,dab39dd232227511c6aed1e6d8ce519de6ee7c5000b0408339559629a5ae07d2.pdf,status11,training\pdfs_train\60\60_001_02_02_002.pdf,True
11_076_01_02_010,11,076,01,02,010,8609002a12f87e2b2478f96abbb2f518be9cfcf0dc06d65c1489c3cbc2ffd1ec.pdf,status11,training\pdfs_train\11\11_076_01_02_010.pdf,True
23_067_01_06_004,23,067,01,06,004,6e4682809b68642a474d3ea503a79b958f1118d5e401e0212f9d74aae7457997.pdf,status11,training\pdfs_train\23\23_067_01_06_004.pdf,True
17_001_02_01_023,17,001,02,01,023,38946a93dcc9241927db0e3fa2eac18ac95277ea3c7ea9f4a64f0ec09fcead13.pdf,status11,training\pdfs_train\17\17_001_02_01_023.pdf,True
60_001_01_01_016,60,001,01,01,016,2ffc1a8b7cd46dd1a41979096b32e5ead35c2fa218a9de81c692c0479532e37f.pdf,status11,training\pdfs_train\60\60_001_01_01_016.pdf,True
11_016_99_25_004,11,016,99,25,004,621fd092c25ff3282ee2683582ec449637915c4a1e2ac36422742f133e53b152.pdf,status11,training\pdfs_train\11\11_016_99_25_004.pdf,True
60_001_02_02_004,60,001,02,02,004,8e23e57fbff41d47a4b14eb8e79218fe2212e170a006e7014a409a10f53b9474.pdf,status11,training\pdfs_train\60\60_001_02_02_004.pdf,True
23_055_99_05_001,23,055,99,05,001,9419346c25d35b5a3d5d36a7f533ccc36f99095b9c8459494d05641ef2748a12.pdf,status11,training\pdfs_train\23\23_055_99_05_001.pdf,True
17_034_99_08_001,17,034,99,08,001,c64040a097e470aaec5e958a830edab683b48c9c50d5571589cb91837f3ef984.pdf,status11,training\pdfs_train\17\17_034_99_08_001.pdf,True
11_046_99_30_002,11,046,99,30,002,8bf437ed426a7394a96f5c693cbbef8d1c17c03fd16bb55f5b3d8fbd22e5ee91.pdf,status11,training\pdfs_train\11\11_046_99_30_002.pdf,True
11_053_99_07_001,11,053,99,07,001,1421a00587074c14b08fa187ce8ba22bd093efc2feecfe1cfdefffae09991f45.pdf,status11,training\pdfs_train\11\11_053_99_07_001.pdf,True
60_007_99_21_001,60,007,99,21,001,ec3729337f26e972d72d12e823b1db3c9f392d69122fd83a80c758fb3945f919.pdf,status11,training\pdfs_train\60\60_007_99_21_001.pdf,True
17_048_00_00_012,17,048,00,00,012,463598e595edba96bf9aea3ed8d16a390325113f663dc503eb2cf31a2cafd4e1.pdf,status11,training\pdfs_train\17\17_048_00_00_012.pdf,True
17_037_00_00_004,17,037,00,00,004,2faf7d69961b7b9b98b6b0ecaadfc011b86b65fce00fc1b9abe560c10f284cf1.pdf,status11,training\pdfs_train\17\17_037_00_00_004.pdf,True
23_001_06_09_008,23,001,06,09,008,d51fee117816c99e0e801dd2e8225625b39c3448e87eadbd69c5fb049e81add4.pdf,status11,training\pdfs_train\23\23_001_06_09_008.pdf,True
23_133_99_50_002,23,133,99,50,002,4ea19761779fc43af66a8c05e426b336cd8463d5e739e8876d95ba909f9e3071.pdf,status11,training\pdfs_train\23\23_133_99_50_002.pdf,True
60_001_01_01_003,60,001,01,01,003,bd08f24e723d13bcc8c51fddf62484bb085bc1d3cf2cf441e8741caa894cec23.pdf,status11,training\pdfs_train\60\60_001_01_01_003.pdf,True
11_082_00_00_008,11,082,00,00,008,0c674e47252bc90d795482ec19803c5fe9f574a50608b1a2492dac7bcd09260b.pdf,status11,training\pdfs_train\11\11_082_00_00_008.pdf,True
11_076_99_23_011,11,076,99,23,011,8448fc71fa412de6e545822e290ca0e820831b9731325b0a725f427f0b139f5f.pdf,status11,training\pdfs_train\11\11_076_99_23_011.pdf,True
60_001_02_03_004,60,001,02,03,004,83a47756bd5360df183259f69dd85d6657148d540af8b445aa3a436462b295b6.pdf,status11,training\pdfs_train\60\60_001_02_03_004.pdf,True
23_039_00_00_008,23,039,00,00,008,095955581e7f202fdc133f999cffc03f36a3b6f8aa3cc60a488eebbbec4deed1.pdf,status11,training\pdfs_train\23\23_039_00_00_008.pdf,True
60_001_02_02_003,60,001,02,02,003,316c661146e374999e9b9650038ba6e55bae335af95ec970f6d95a814974cd65.pdf,status11,training\pdfs_train\60\60_001_02_02_003.pdf,True
11_013_00_00_010,11,013,00,00,010,6cd3e750c425ef15f2be6f01216f4f3c58950c937011a1508beb4567b55f1a6e.pdf,status11,training\pdfs_train\11\11_013_00_00_010.pdf,True
60_001_01_01_010,60,001,01,01,010,ac0b2d311469e346f6809092231389a082af7197d0fd838ddce1ea6bb63332f4.pdf,status11,training\pdfs_train\60\60_001_01_01_010.pdf,True
17_012_99_50_002,17,012,99,50,002,34237b18ba60f896a5ef0f2e3fc2f928d8a547e1ca2b2bde774236d0b4356f04.pdf,status11,training\pdfs_train\17\17_012_99_50_002.pdf,True
23_115_99_48_001,23,115,99,48,001,69e985e1175a5c8ec1d8d62bdb984cee4b34b640d6cc6d893676b64feeff44e3.pdf,status11,training\pdfs_train\23\23_115_99_48_001.pdf,True
11_001_06_02_011,11,001,06,02,011,4c906283dcd792f2e9fff3431cf88250cc681041f7992760db7ef632d186241f.pdf,status11,training\pdfs_train\11\11_001_06_02_011.pdf,True
60_001_02_02_019,60,001,02,02,019,f09d65d422454e7922acc00deeb905bc267e8a42f07f66508f19726eaa4542bc.pdf,status11,training\pdfs_train\60\60_001_02_02_019.pdf,True
17_037_00_00_001,17,037,00,00,001,a52aa4110fffa0f3f224330bec998020c6c4b9de171d42823df9d1ba832258b3.pdf,status11,training\pdfs_train\17\17_037_00_00_001.pdf,True
23_139_03_03_002,23,139,03,03,002,b3a8d04c27cd03ea54ea6e5e83a669e26474c4d5795e25b2f3cefb5fba428fe1.pdf,status11,training\pdfs_train\23\23_139_03_03_002.pdf,True
11_001_06_01_030,11,001,06,01,030,6789bc1f37609dc2ad9b34194a818843914f6fb1a2f521bf51470bfa0a6b4fd1.pdf,status11,training\pdfs_train\11\11_001_06_01_030.pdf,True
23_001_99_01_016,23,001,99,01,016,b0c2d95ee15057759fff8d7d86a7ab86cd1f378cc0a2ee32c7299e5de441a4d6.pdf,status11,training\pdfs_train\23\23_001_99_01_016.pdf,True
11_001_07_02_010,11,001,07,02,010,2cf55bb3205ae374ec244ea7c0fd70d95a0f9559b592dc21707d82da1e5485b8.pdf,status11,training\pdfs_train\11\11_001_07_02_010.pdf,True
17_006_99_81_001,17,006,99,81,001,e674374d988dfd7060cb830a7eb2005821f63eeaf2948ca66b2f45222670faeb.pdf,status11,training\pdfs_train\17\17_006_99_81_001.pdf,True
11_004_99_13_004,11,004,99,13,004,95699f5debf94744b0de4f3b4ffa768ccacd27f73dd04bff9a89b8983b89ba1d.pdf,status11,training\pdfs_train\11\11_004_99_13_004.pdf,True
11_082_00_00_015,11,082,00,00,015,cca4307487e3189ee0568402f12fc3ea227b0c57708286cc90d7aacad48c3e91.pdf,status11,training\pdfs_train\11\11_082_00_00_015.pdf,True
17_011_99_20_001,17,011,99,20,001,8fb2564c77dcffd365ebd40d4d8be910b80d2a16acd5a8e8f838828b3580afd9.pdf,status11,training\pdfs_train\17\17_011_99_20_001.pdf,True
23_001_99_55_004,23,001,99,55,004,26522a106c290d34f32c6a779b506f05970887ee894104f5773bc531f02fefcd.pdf,status11,training\pdfs_train\23\23_001_99_55_004.pdf,True
60_001_01_01_004,60,001,01,01,004,90d22239aa01d06c465d223cdc34c37a6899041155f8084dc61f7da05638efa5.pdf,status11,training\pdfs_train\60\60_001_01_01_004.pdf,True
23_001_05_03_006,23,001,05,03,006,08577797bdcedd7976017e2dabdca11c5d2edf7510b264a918c934fc9628b82a.pdf,status11,training\pdfs_train\23\23_001_05_03_006.pdf,True
17_001_99_51_003,17,001,99,51,003,40e160a172d8b23f61e0d5cbcbbe93172a29888b5bf09aa7dfeeae6755f4d229.pdf,status11,training\pdfs_train\17\17_001_99_51_003.pdf,True
60_001_02_02_009,60,001,02,02,009,665ee1bc41c6ee0663008527bf93a1485c60d85d8420d17d66b5b7ffd0e06c81.pdf,status11,training\pdfs_train\60\60_001_02_02_009.pdf,True
11_010_99_26_001,11,010,99,26,001,7d6e3903ae00e677f8030ede5fbaf5176b3d755949f1821babd23b74b5e2690f.pdf,status11,training\pdfs_train\11\11_010_99_26_001.pdf,True
23_022_99_04_001,23,022,99,04,001,d9ae71852e26e216e52d9953428724f3a2cf298ee765772722084e199b390fd9.pdf,status11,training\pdfs_train\23\23_022_99_04_001.pdf,True
17_019_99_50_001,17,019,99,50,001,47791dacd1ca64875d9c54cd5637177c0fe4adc166d8a9f067ed0ba193a89ed2.pdf,status11,training\pdfs_train\17\17_019_99_50_001.pdf,True
17_019_99_19_001,17,019,99,19,001,8f7ca2f388e529b218f375ea236d719ffcb4cf85f6fbfa929f8f5ae25484f428.pdf,status11,training\pdfs_train\17\17_019_99_19_001.pdf,True
17_014_99_30_001,17,014,99,30,001,3d0ffbc86add6502032bb2a4499af59fee04925feaef4d87b764c03611318007.pdf,status11,training\pdfs_train\17\17_014_99_30_001.pdf,True
11_001_02_05_016,11,001,02,05,016,b27066686677664fd55d206cf158bd7ed11fba49ccbbee01b8b60f6f21db4776.pdf,status11,training\pdfs_train\11\11_001_02_05_016.pdf,True
64_023_02_01_012,64,023,02,01,012,34ead7764e747bf9433be65ccbc4f23213d575277bbd58e389fa90d5eefda9c9.pdf,status11,training\pdfs_train\64\64_023_02_01_012.pdf,True
17_010_99_62_001,17,010,99,62,001,932be5e2f18f488040e3724020b97bebda87527d5dbdd35730a79e349eec61de.pdf,status11,training\pdfs_train\17\17_010_99_62_001.pdf,True
23_139_02_01_007,23,139,02,01,007,06145deaa565013b28a4faea0fab367da143a493c3720f876c55984199e439c5.pdf,status11,training\pdfs_train\23\23_139_02_01_007.pdf,True
64_030_00_01_021,64,030,00,01,021,bbcf383d29263600fffae7682dccf98b8d33aadc80e65ad37ad750059a7aa881.pdf,status11,training\pdfs_train\64\64_030_00_01_021.pdf,True
23_001_04_03_002,23,001,04,03,002,1acf5b1f67fc031f9c9792cdaa8464bdcfc84826d25caec567539cfc49207cdf.pdf,status11,training\pdfs_train\23\23_001_04_03_002.pdf,True
17_019_00_00_019,17,019,00,00,019,b00a1c3fe74493196a4f32e16eba78931701854ada7b40f1b95d16f9ab69d5ba.pdf,status11,training\pdfs_train\17\17_019_00_00_019.pdf,True
17_002_99_45_001,17,002,99,45,001,195723929df21dbeb5d3ce72e45ea1b1ca2abb8622f729bd0ecc250beef2f8ee.pdf,status11,training\pdfs_train\17\17_002_99_45_001.pdf,True
11_088_01_02_009,11,088,01,02,009,54b87faba6ab68ca8dd417a90f46228b7203583586bff09a6cc4ae3ed6d15f60.pdf,status11,training\pdfs_train\11\11_088_01_02_009.pdf,True
64_002_02_02_006,64,002,02,02,006,851dfb1814492089720ebbe13a952187271d41aa27f2d3970609073e2b82b008.pdf,status11,training\pdfs_train\64\64_002_02_02_006.pdf,True
